TimeUS,RollRate,Roll,DesRoll
11.9,7.11345,-12.509,-2.63764
11.925,7.8237,-12.3312,-2.22127
11.95,8.51556,-12.1356,-1.80537
11.975,9.18809,-11.9227,-1.39034
12,9.84043,-11.693,-0.976556
12.025,10.4718,-11.447,-0.564406
12.05,11.0814,-11.1852,-0.154257
12.075,11.6686,-10.9082,0.253512
12.1,12.2329,-10.6165,0.658549
12.125,12.7736,-10.3106,1.0605
12.15,13.2903,-9.99129,1.45904
12.175,13.7825,-9.65904,1.85384
12.2,14.2499,-9.31447,2.24458
12.225,14.6923,-8.95822,2.63096
12.25,15.1093,-8.59092,3.01269
12.275,15.5007,-8.21319,3.38951
12.3,15.8665,-7.82567,3.76115
12.325,16.2065,-7.42901,4.12737
12.35,16.5207,-7.02385,4.48793
12.375,16.8092,-6.61083,4.84262
12.4,17.0719,-6.1906,5.19125
12.425,17.3091,-5.7638,5.53362
12.45,17.5208,-5.33107,5.86956
12.475,17.7074,-4.89305,6.19892
12.5,17.8689,-4.45037,6.52155
12.525,18.0058,-4.00364,6.83732
12.55,18.1184,-3.5535,7.14613
12.575,18.207,-3.10054,7.44787
12.6,18.2719,-2.64537,7.74245
12.625,18.3138,-2.18857,8.0298
12.65,18.333,-1.73072,8.30985
12.675,18.33,-1.2724,8.58255
12.7,18.3053,-0.814148,8.84788
12.725,18.2596,-0.356515,9.10579
12.75,16.856,0.0999746,-2.4604
12.775,15.503,0.521374,-2.34833
12.8,14.2006,0.908948,-2.24247
12.825,12.9489,1.26396,-2.14239
12.85,11.7476,1.58768,-2.04768
12.875,10.5964,1.88137,-1.95794
12.9,9.4952,2.14628,-1.87277
12.925,8.44344,2.38366,-1.79179
12.95,7.44068,2.59475,-1.71464
12.975,6.48637,2.78077,-1.64097
13,5.57991,2.94293,-1.57044
13.025,4.72061,3.08242,-1.50273
13.05,3.90776,3.20044,-1.43752
13.075,3.14057,3.29813,-1.37451
13.1,2.4182,3.37665,-1.31343
13.125,1.73978,3.4371,-1.254
13.15,1.10439,3.4806,-1.19597
13.175,0.511072,3.50821,-1.13908
13.2,-0.0411647,3.52098,-1.08311
13.225,-0.553344,3.51996,-1.02785
13.25,-1.02652,3.50612,-0.973079
13.275,-1.46176,3.48046,-0.918617
13.3,-1.86016,3.44391,-0.864284
13.325,-2.22285,3.39741,-0.809905
13.35,-2.55094,3.34184,-0.755334
13.375,-2.84559,3.27807,-0.700423
13.4,-3.10795,3.20693,-0.645038
13.425,-3.33918,3.12923,-0.58906
13.45,-3.54043,3.04575,-0.532382
13.475,-3.71289,2.95724,-0.474902
13.5,-3.85772,2.86441,-0.416528
13.525,-3.97608,2.76797,-0.357187
13.55,-4.06914,2.66857,-0.296808
13.575,-4.13805,2.56684,-0.235331
13.6,-4.18397,2.46339,-0.172708
13.625,-4.20802,2.35879,-0.108886
13.65,-4.21133,2.25359,-0.0438422
13.675,-4.19503,2.14831,0.0224503
13.7,-4.16021,2.04343,0.0900138
13.725,-4.10795,1.93943,0.158853
13.75,-4.03931,1.83673,0.228978
13.775,-3.95536,1.73574,0.300386
13.8,-3.85711,1.63686,0.373059
13.825,-3.74557,1.54043,0.446994
13.85,-3.62173,1.44679,0.522159
13.875,-3.48656,1.35625,0.598526
13.9,-3.34099,1.26909,0.676078
13.925,-3.18594,1.18556,0.754761
13.95,-3.02231,1.10591,0.834547
13.975,-2.85096,1.03035,0.915379
14,-2.67274,0.959081,0.997222
14.025,-2.48845,0.892262,1.08001
14.05,-2.29889,0.830051,1.1637
14.075,-2.10483,0.772579,1.24821
14.1,-1.907,0.719958,1.3335
14.125,-1.7061,0.672283,1.41951
14.15,-1.50283,0.629631,1.50615
14.175,-1.29784,0.59206,1.59337
14.2,-1.09175,0.559614,1.68109
14.225,-0.885163,0.53232,1.76925
14.25,-0.678659,0.510191,1.85776
14.275,-0.472781,0.493225,1.94656
14.3,-0.268052,0.481405,2.03557
14.325,-0.0649632,0.474704,2.12471
14.35,0.136016,0.47308,2.21392
14.375,0.334445,0.47648,2.30311
14.4,0.529907,0.484841,2.39221
14.425,0.722012,0.498089,2.48114
14.45,0.910392,0.516139,2.56983
14.475,1.09471,0.538899,2.65821
14.5,1.27464,0.566267,2.74619
14.525,1.44989,0.598133,2.83371
14.55,1.6202,0.63438,2.9207
