timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1590499228.57959414,52793874,-0.05,0.09,13.3,0.64,0.0,0.0,0.0,0.0
1590499228.61957812,52833858,-0.05,0.09,13.31,0.65,0.0,0.0,0.0,0.0
1590499228.65956211,52873842,-0.05,0.09,13.31,0.66,0.0,0.0,0.0,0.0
1590499228.69954610,52913826,-0.05,0.09,13.31,0.67,0.0,0.0,0.0,0.0
1590499228.73953009,52953810,-0.05,0.09,13.33,0.68,0.0,0.01,0.0,0.0
1590499228.77951407,52993794,-0.05,0.09,13.33,0.6900000000000001,0.0,0.01,0.0,0.0
1590499228.81949806,53033778,-0.06,0.09,13.290000000000001,0.71,0.0,0.01,0.0,0.0
1590499228.85948205,53073762,-0.06,0.09,13.290000000000001,0.72,0.0,0.01,0.0,0.0
1590499228.89946604,53113746,-0.06,0.09,13.290000000000001,0.73,0.0,0.01,0.0,0.0
1590499228.93945003,53153730,-0.06,0.09,13.22,0.74,0.0,0.01,0.0,0.0
1590499228.97943401,53193714,-0.06,0.09,13.22,0.75,0.0,0.02,0.0,0.0
1590499229.01941800,53233698,-0.07,0.09,13.27,0.77,0.0,0.02,0.0,0.0
1590499229.05940223,53273682,-0.07,0.09,13.27,0.78,0.0,0.02,0.0,0.0
1590499229.09938622,53313666,-0.07,0.09,13.27,0.79,0.0,0.02,0.0,0.0
1590499229.13937020,53353650,-0.07,0.09,13.36,0.81,0.0,0.02,0.0,0.0
1590499229.17935419,53393634,-0.07,0.09,13.36,0.8200000000000001,0.0,0.02,0.0,0.0
1590499229.21933818,53433618,-0.07,0.09,13.36,0.84,0.0,0.03,0.0,0.0
1590499229.25932217,53473602,-0.07,0.09,13.36,0.85,0.0,0.03,0.0,0.0
1590499229.29930615,53513586,-0.07,0.08,13.36,0.87,0.0,0.03,0.0,0.0
1590499229.33929014,53553570,-0.08,0.08,13.5,0.88,0.0,0.03,0.0,0.0
1590499229.37927413,53593554,-0.08,0.08,13.5,0.9,0.0,0.03,0.0,0.0
1590499229.41925812,53633538,-0.08,0.08,13.58,0.92,0.0,0.03,0.0,0.0
1590499229.45924211,53673522,-0.08,0.08,13.58,0.93,0.0,0.04,0.0,0.0
1590499229.49922609,53713506,-0.08,0.08,13.58,0.9500000000000001,0.0,0.04,0.0,0.0
1590499229.53921008,53753490,-0.09,0.08,13.72,0.97,0.0,0.04,0.0,0.0
1590499229.57919407,53793474,-0.09,0.08,13.72,0.98,0.0,0.04,0.0,0.0
1590499229.62001109,53834291,-0.09,0.08,13.91,1.0,0.0,0.04,0.0,0.0
1590499229.65999508,53874275,-0.09,0.08,13.91,1.02,0.0,0.05,0.0,0.0
1590499229.69997907,53914259,-0.09,0.08,13.91,1.03,0.0,0.05,0.0,0.0
1590499229.73996305,53954243,-0.1,0.08,14.02,1.05,0.0,0.05,0.0,0.0
1590499229.77994704,53994227,-0.1,0.08,14.02,1.07,0.0,0.05,0.0,0.0
1590499229.81993103,54034211,-0.1,0.08,14.05,1.09,0.0,0.05,0.0,0.0
1590499229.85991502,54074195,-0.1,0.08,14.05,1.1,0.0,0.05,0.0,0.0
1590499229.89989901,54114179,-0.1,0.08,14.05,1.12,0.0,0.06,0.0,0.0
1590499229.93988299,54154163,-0.11,0.08,14.1,1.1400000000000001,0.0,0.06,0.0,0.0
1590499229.97986722,54194147,-0.11,0.08,14.1,1.16,0.0,0.06,0.0,0.0
1590499230.01985121,54234131,-0.11,0.08,14.120000000000001,1.18,0.0,0.06,0.0,0.0
1590499230.05983520,54274115,-0.11,0.08,14.120000000000001,1.19,0.0,0.06,0.0,0.0
1590499230.09981918,54314099,-0.11,0.08,14.120000000000001,1.21,0.0,0.07,0.0,0.0
1590499230.13980317,54354083,-0.12,0.08,14.16,1.23,0.0,0.07,0.0,0.0
1590499230.17978716,54394067,-0.12,0.08,14.16,1.25,0.0,0.07,0.0,0.0
1590499230.21977115,54434051,-0.12,0.08,14.200000000000001,1.27,0.0,0.07,0.0,0.0
1590499230.25975513,54474035,-0.12,0.08,14.200000000000001,1.29,0.0,0.07,0.0,0.0
1590499230.29973912,54514019,-0.12,0.08,14.200000000000001,1.31,0.0,0.07,0.0,0.0
1590499230.33972311,54554003,-0.12,0.08,14.3,1.33,0.0,0.08,0.0,0.0
1590499230.37970710,54593987,-0.12,0.07,14.3,1.45,0.0,0.08,0.0,0.0
1590499230.41969109,54633971,-0.13,0.09,14.74,2.32,0.0,0.09,0.0,0.0
1590499230.45967507,54673955,-0.13,0.11,14.74,3.98,0.0,0.1,0.0,0.0
1590499230.49965906,54713939,-0.13,0.14,14.74,6.18,0.0,0.09,0.0,0.0
1590499230.53964305,54753923,-0.14,0.15,14.99,8.700000000000001,0.0,0.08,0.0,0.0
1590499230.57962704,54793907,-0.14,0.15,14.99,11.33,0.0,0.08,0.0,0.0
1590499230.61961102,54833891,-0.13,0.11,14.99,13.98,0.0,0.09,0.0,0.0
1590499230.65959501,54873875,-0.13,0.05,14.99,16.52,0.0,0.1,0.0,0.0
1590499230.69957900,54913859,-0.13,-0.01,14.99,18.89,0.0,0.11,0.0,0.0
1590499230.73956323,54953843,-0.15,-0.08,14.99,21.06,0.0,0.11,0.0,0.0
1590499230.77954721,54993827,-0.14,-0.16,14.99,22.97,0.0,0.1,0.0,0.0
1590499230.81953120,55033811,-0.13,-0.22,14.99,24.67,0.0,0.09,0.01,0.0
1590499230.85951519,55073795,-0.13,-0.28,14.99,26.12,0.0,0.07,0.01,0.0
1590499230.89949918,55113779,-0.12,-0.34,14.99,27.34,0.0,0.04,0.01,0.0
1590499230.93948317,55153763,-0.07,-0.41000000000000003,14.99,28.310000000000002,0.0,0.02,0.01,0.0
1590499230.97946715,55193747,-0.07,-0.46,14.99,29.09,0.0,0.01,0.01,0.0
1590499231.01945114,55233731,-0.04,-0.51,14.99,29.68,0.0,0.0,0.01,0.0
1590499231.05943513,55273715,-0.04,-0.5,14.99,30.11,0.0,0.0,0.01,0.0
1590499231.09941912,55313699,-0.04,-0.47000000000000003,14.99,30.41,0.0,0.0,0.01,0.0
1590499231.13940310,55353683,-0.04,-0.44,14.99,30.61,0.0,0.01,0.01,0.0
1590499231.17938709,55393667,-0.04,-0.41000000000000003,14.99,30.72,0.0,0.0,0.01,0.0
1590499231.21937108,55433651,-0.03,-0.4,14.99,30.77,0.0,359.97,0.01,0.0
1590499231.25935507,55473635,-0.03,-0.41000000000000003,14.99,30.75,0.0,359.92,0.01,0.0
1590499231.29933906,55513619,-0.03,-0.42,14.99,30.67,0.0,359.88,0.01,0.0
1590499231.33932304,55553603,0.04,-0.44,14.99,30.53,0.0,359.84000000000003,0.01,0.0
1590499231.37930703,55593587,0.04,-0.46,14.99,30.35,0.0,359.81,0.01,0.0
1590499231.41929102,55633571,0.09,-0.47000000000000003,14.99,30.150000000000002,0.0,359.79,0.01,0.0
1590499231.45927501,55673555,0.09,-0.48,14.99,29.93,0.0,359.79,0.01,0.0
1590499231.49925900,55713539,0.09,-0.49,14.99,29.7,0.0,359.8,0.01,0.0
1590499231.53924322,55753523,0.09,-0.49,14.99,29.46,0.0,359.81,0.01,0.0
1590499231.57922721,55793507,0.09,-0.49,14.99,29.21,0.0,359.83,0.01,0.0
1590499231.61921120,55833491,0.06,-0.48,12.85,28.96,0.0,359.86,0.01,0.0
1590499231.65919518,55873475,0.06,-0.46,12.85,28.69,0.0,359.90000000000003,0.01,0.0
1590499231.70001221,55914292,0.06,-0.43,12.85,28.39,0.0,359.93,0.01,0.0
1590499231.73999619,55954276,0.28,-0.4,10.700000000000001,28.080000000000002,0.0,359.96,0.01,0.0
1590499231.77998018,55994260,0.28,-0.37,10.700000000000001,27.75,0.0,359.97,0.01,0.0
1590499231.81996417,56034244,0.27,-0.35000000000000003,8.55,27.400000000000002,0.0,359.96,0.01,0.0
1590499231.85994816,56074228,0.27,-0.35000000000000003,8.55,26.98,0.0,359.95,0.01,0.0
1590499231.89993215,56114212,0.28,-0.36,8.55,26.53,0.0,359.92,0.01,0.0
1590499231.93991613,56154196,0.26,-0.34,6.78,26.01,0.0,359.91,0.01,0.0
1590499231.97990012,56194180,0.26,-0.32,6.78,25.44,0.0,359.91,0.01,0.0
1590499232.01988411,56234164,0.27,-0.31,6.07,24.810000000000002,0.0,359.92,0.01,0.0
1590499232.05986810,56274148,0.27,-0.29,6.07,24.09,0.0,359.94,0.01,0.0
1590499232.09985209,56314132,0.27,-0.28,6.07,23.32,0.0,359.94,0.01,0.0
1590499232.13983607,56354116,0.27,-0.25,5.44,22.52,0.0,359.94,0.01,0.0
1590499232.17982006,56394100,0.27,-0.22,5.44,21.72,0.0,359.94,0.01,0.0
1590499232.21980405,56434084,0.27,-0.2,4.83,20.92,0.0,359.94,0.01,0.0
1590499232.25978804,56474068,0.28,-0.18,4.83,20.13,0.0,359.92,0.01,0.0
1590499232.29977202,56514052,0.28,-0.17,4.83,19.36,0.0,359.90000000000003,0.01,0.0
1590499232.33975601,56554036,0.27,-0.18,4.3100000000000005,18.61,0.0,359.87,0.01,0.0
1590499232.37974000,56594020,0.27,-0.17,4.3100000000000005,17.900000000000002,0.0,359.86,0.01,0.0
1590499232.41972423,56634004,0.28,-0.16,3.77,17.22,0.0,359.84000000000003,0.01,0.0
1590499232.45970821,56673988,0.29,-0.15,3.77,16.6,0.0,359.83,0.01,0.0
1590499232.49969220,56713972,0.29,-0.15,3.77,15.99,0.0,359.81,0.01,0.0
1590499232.53967619,56753956,0.3,-0.14,3.2800000000000002,15.42,0.0,359.81,0.01,0.0
1590499232.57966018,56793940,0.3,-0.14,3.2800000000000002,14.870000000000001,0.0,359.83,0.01,0.0
1590499232.61964417,56833924,0.32,-0.13,2.7800000000000002,14.35,0.0,359.84000000000003,0.01,0.0
1590499232.65962815,56873908,0.32,-0.13,2.7800000000000002,13.86,0.0,359.85,0.01,0.0
1590499232.69961214,56913892,0.32,-0.14,2.7800000000000002,13.39,0.0,359.84000000000003,0.01,0.0
1590499232.73959613,56953876,0.33,-0.16,2.38,12.96,0.0,359.84000000000003,0.01,0.0
1590499232.77958012,56993860,0.33,-0.17,2.38,12.55,0.0,359.83,0.01,0.0
1590499232.81956410,57033844,0.35000000000000003,-0.18,2.0300000000000002,12.16,0.0,359.81,0.01,0.0
1590499232.85954809,57073828,0.35000000000000003,-0.18,2.0300000000000002,11.78,0.0,359.78000000000003,0.01,0.0
1590499232.89953208,57113812,0.35000000000000003,-0.17,2.0300000000000002,11.4,0.0,359.75,0.01,0.0
1590499232.93951607,57153796,0.38,-0.17,1.6500000000000001,11.040000000000001,0.0,359.73,0.01,0.0
1590499232.97950006,57193780,0.38,-0.18,1.6500000000000001,10.71,0.0,359.72,0.01,0.0
1590499233.01948404,57233764,0.41000000000000003,-0.19,1.3,10.42,0.0,359.71,0.01,0.0
1590499233.05946803,57273748,0.41000000000000003,-0.18,1.3,10.15,0.0,359.72,0.01,0.0
1590499233.09945202,57313732,0.41000000000000003,-0.18,1.3,9.92,0.0,359.74,0.01,0.0
1590499233.13943601,57353716,0.44,-0.16,1.01,9.71,0.0,359.78000000000003,0.01,0.0
1590499233.17941999,57393700,0.44,-0.14,1.01,9.5,0.0,359.81,0.01,0.0
1590499233.21940422,57433684,0.45,-0.12,0.73,9.290000000000001,0.0,359.83,0.01,0.0
1590499233.25938821,57473668,0.45,-0.09,0.73,9.08,0.0,359.85,0.01,0.0
1590499233.29937220,57513652,0.45,-0.06,0.73,8.870000000000001,0.0,359.87,0.01,0.0
1590499233.33935618,57553636,0.44,-0.05,0.38,8.65,0.0,359.87,0.01,0.0
1590499233.37934017,57593620,0.44,-0.03,0.38,8.45,0.0,359.85,0.01,0.0
1590499233.41932416,57633604,0.43,-0.01,0.1,8.26,0.0,359.83,0.0,0.0
1590499233.45930815,57673588,0.43,0.02,0.1,8.09,0.0,359.81,0.0,0.0
1590499233.49929214,57713572,0.43,0.05,0.1,7.930000000000001,0.0,359.8,0.0,0.0
1590499233.53927612,57753556,0.42,0.06,-0.15,7.78,0.0,359.78000000000003,0.0,0.0
1590499233.57926011,57793540,0.42,0.07,-0.15,7.63,0.0,359.77,0.0,0.0
1590499233.61924410,57833524,0.42,0.08,-0.46,7.5,0.0,359.76,0.0,0.0
1590499233.65922809,57873508,0.42,0.1,-0.46,7.37,0.0,359.76,0.0,0.0
1590499233.69921207,57913492,0.43,0.13,-0.46,7.24,0.0,359.76,0.0,0.0
1590499233.73919606,57953476,0.42,0.14,-0.75,7.1000000000000005,0.0,359.75,0.0,0.0
1590499233.78001308,57994293,0.42,0.16,-0.75,6.95,0.0,359.76,0.0,0.0
1590499233.81999707,58034277,0.42,0.19,-1.99,6.8100000000000005,0.0,359.77,0.0,0.0
1590499233.85998106,58074261,0.43,0.22,-1.99,6.66,0.0,359.8,0.0,0.0
1590499233.89996505,58114245,0.43,0.25,-1.99,6.49,0.0,359.82,0.0,0.0
1590499233.93994904,58154229,0.42,0.27,-1.27,6.32,0.0,359.84000000000003,0.0,0.0
1590499233.97993302,58194213,0.42,0.3,-1.27,6.12,0.0,359.84000000000003,0.0,0.0
1590499234.01991701,58234197,0.4,0.34,-1.51,5.93,0.0,359.83,0.0,0.0
1590499234.05990100,58274181,0.4,0.37,-1.51,5.73,0.0,359.82,0.0,0.0
1590499234.09988523,58314165,0.4,0.4,-1.51,5.51,0.0,359.83,0.0,0.0
1590499234.13986921,58354149,0.39,0.43,-1.77,5.28,0.0,359.84000000000003,0.0,0.0
1590499234.17985320,58394133,0.39,0.44,-1.77,5.0600000000000005,0.0,359.83,0.0,0.0
1590499234.21983719,58434117,0.37,0.44,-1.97,4.86,0.0,359.81,0.0,0.0
1590499234.25982118,58474101,0.37,0.43,-1.97,4.69,0.0,359.8,0.0,0.0
1590499234.29980516,58514085,0.37,0.42,-1.97,4.54,0.0,359.8,0.0,0.0
1590499234.33978915,58554069,0.36,0.42,-2.2,4.4,0.0,359.8,0.0,0.0
