RollRate,Roll,DesRoll
-1.89337,-0.575324,-0.887243
-1.80651,-0.622659,-0.875713
-1.71843,-0.667821,-0.863216
-1.62934,-0.710782,-0.849828
-1.53946,-0.751516,-0.83558
-1.44901,-0.790002,-0.820503
-1.35818,-0.826227,-0.804663
-1.26717,-0.860182,-0.788086
-1.15302,-0.891861,-0.566255
-1.01495,-0.920686,-0.322225
-0.854863,-0.94606,-0.0785471
-0.674586,-0.967432,0.164717
-0.475925,-0.984296,0.407474
-0.260627,-0.996195,0.649653
-0.0303949,-1.00271,0.891145
0.213121,-1.00347,1.13185
0.46832,-0.998142,1.37167
0.733652,-0.986434,1.61047
1.00762,-0.968093,1.84811
1.28877,-0.942902,2.08448
1.57572,-0.910683,2.31943
1.86712,-0.87129,2.55284
2.16169,-0.824612,2.78455
2.45818,-0.77057,3.01442
2.75543,-0.709115,3.24229
3.05229,-0.64023,3.46802
3.34769,-0.563922,3.69147
3.64062,-0.48023,3.91249
3.9301,-0.389215,4.13091
4.21521,-0.290962,4.34663
4.4951,-0.185582,4.55947
4.76894,-0.0732042,4.7693
5.03597,0.0460192,4.97598
5.29549,0.171919,5.17939
5.54682,0.304306,5.37938
5.78937,0.442976,5.57584
6.02256,0.58771,5.76865
6.24588,0.738274,5.95768
6.45886,0.894421,6.14284
6.66108,1.05589,6.32401
6.85215,1.22242,6.5011
7.03175,1.39372,6.67398
7.19959,1.56952,6.84262
7.35541,1.74951,7.0069
7.499,1.93339,7.16675
7.6302,2.12087,7.32211
7.74887,2.31162,7.4729
7.85493,2.50534,7.61908
7.9483,2.70172,7.76059
8.02898,2.90042,7.89737
8.09695,3.10115,8.02941
8.15227,3.30357,8.15666
8.19501,3.50738,8.2791
8.22527,3.71226,8.39668
8.24316,3.91789,8.50942
8.24885,4.12397,8.61728
8.24251,4.33019,8.72029
8.22434,4.53625,8.81843
8.19457,4.74186,8.91171
8.15343,4.94672,9.00013
8.1012,5.15056,9.08372
8.03815,5.35309,9.1625
7.96457,5.55404,9.23648
7.88078,5.75316,9.30572
7.78711,5.95018,9.37025
7.6839,6.14485,9.43008
7.57148,6.33695,9.48529
7.45023,6.52624,9.53591
7.32052,6.71249,9.58199
7.18271,6.89551,9.62358
7.03719,7.07507,9.66077
6.88436,7.251,9.69359
6.72459,7.42311,9.72213
6.5583,7.59123,9.74643
6.38588,7.75519,9.7666
6.20773,7.91483,9.78269
6.02425,8.07003,9.79477
5.83585,8.22063,9.80296
5.64291,8.36653,9.80729
5.44585,8.5076,9.80789
5.24505,8.64375,9.80483
5.04092,8.77487,9.79819
4.83382,8.9009,9.78807
4.62416,9.02174,9.77457
4.4123,9.13735,9.75777
4.19861,9.24765,9.73778
3.98348,9.35262,9.7147
3.76724,9.45221,9.68861
3.55025,9.54639,9.65961
3.33285,9.63514,9.62782
3.11538,9.71846,9.59333
2.89817,9.79635,9.55623
2.68152,9.8688,9.51664
2.46576,9.93584,9.47465
2.25116,9.99749,9.43036
2.03803,10.0538,9.3839
1.82663,10.1047,9.33533
1.61724,10.1504,9.28477
1.41012,10.1908,9.23233
1.2055,10.2261,9.17811
1.00362,10.2562,9.12218
